,class,sepal_length,sepal_width,petal_length,petal_width
0,setosa,5.1,3.5,1.4,0.2
1,setosa,4.9,3.0,1.4,0.2
2,setosa,4.7,3.2,1.3,0.2
3,setosa,4.6,3.1,1.5,0.2
4,setosa,5.0,3.6,1.4,0.2
5,setosa,5.4,3.9,1.7,0.4
6,setosa,4.6,3.4,1.4,0.3
7,setosa,5.0,3.4,1.5,0.2
8,setosa,4.4,2.9,1.4,0.2
9,setosa,4.9,3.1,1.5,0.1
10,setosa,5.4,3.7,1.5,0.2
11,setosa,4.8,3.4,1.6,0.2
12,setosa,4.8,3.0,1.4,0.1
13,setosa,4.3,3.0,1.1,0.1
14,setosa,5.8,4.0,1.2,0.2
15,setosa,5.7,4.4,1.5,0.4
16,setosa,5.4,3.9,1.3,0.4
17,setosa,5.1,3.5,1.4,0.3
18,setosa,5.7,3.8,1.7,0.3
19,setosa,5.1,3.8,1.5,0.3
20,setosa,5.4,3.4,1.7,0.2
21,setosa,5.1,3.7,1.5,0.4
22,setosa,4.6,3.6,1.0,0.2
23,setosa,5.1,3.3,1.7,0.5
24,setosa,4.8,3.4,1.9,0.2
25,setosa,5.0,3.0,1.6,0.2
26,setosa,5.0,3.4,1.6,0.4
27,setosa,5.2,3.5,1.5,0.2
28,setosa,5.2,3.4,1.4,0.2
29,setosa,4.7,3.2,1.6,0.2
30,setosa,4.8,3.1,1.6,0.2
31,setosa,5.4,3.4,1.5,0.4
32,setosa,5.2,4.1,1.5,0.1
33,setosa,5.5,4.2,1.4,0.2
34,setosa,4.9,3.1,1.5,0.1
35,setosa,5.0,3.2,1.2,0.2
36,setosa,5.5,3.5,1.3,0.2
37,setosa,4.9,3.1,1.5,0.1
38,setosa,4.4,3.0,1.3,0.2
39,setosa,5.1,3.4,1.5,0.2
40,setosa,5.0,3.5,1.3,0.3
41,setosa,4.5,2.3,1.3,0.3
42,setosa,4.4,3.2,1.3,0.2
43,setosa,5.0,3.5,1.6,0.6
44,setosa,5.1,3.8,1.9,0.4
45,setosa,4.8,3.0,1.4,0.3
46,setosa,5.1,3.8,1.6,0.2
47,setosa,4.6,3.2,1.4,0.2
48,setosa,5.3,3.7,1.5,0.2
49,setosa,5.0,3.3,1.4,0.2
50,versicolor,7.0,3.2,4.7,1.4
51,versicolor,6.4,3.2,4.5,1.5
52,versicolor,6.9,3.1,4.9,1.5
53,versicolor,5.5,2.3,4.0,1.3
54,versicolor,6.5,2.8,4.6,1.5
55,versicolor,5.7,2.8,4.5,1.3
56,versicolor,6.3,3.3,4.7,1.6
57,versicolor,4.9,2.4,3.3,1.0
58,versicolor,6.6,2.9,4.6,1.3
59,versicolor,5.2,2.7,3.9,1.4
60,versicolor,5.0,2.0,3.5,1.0
61,versicolor,5.9,3.0,4.2,1.5
62,versicolor,6.0,2.2,4.0,1.0
63,versicolor,6.1,2.9,4.7,1.4
64,versicolor,5.6,2.9,3.6,1.3
65,versicolor,6.7,3.1,4.4,1.4
66,versicolor,5.6,3.0,4.5,1.5
67,versicolor,5.8,2.7,4.1,1.0
68,versicolor,6.2,2.2,4.5,1.5
69,versicolor,5.6,2.5,3.9,1.1
70,versicolor,5.9,3.2,4.8,1.8
71,versicolor,6.1,2.8,4.0,1.3
72,versicolor,6.3,2.5,4.9,1.5
73,versicolor,6.1,2.8,4.7,1.2
74,versicolor,6.4,2.9,4.3,1.3
75,versicolor,6.6,3.0,4.4,1.4
76,versicolor,6.8,2.8,4.8,1.4
77,versicolor,6.7,3.0,5.0,1.7
78,versicolor,6.0,2.9,4.5,1.5
79,versicolor,5.7,2.6,3.5,1.0
80,versicolor,5.5,2.4,3.8,1.1
81,versicolor,5.5,2.4,3.7,1.0
82,versicolor,5.8,2.7,3.9,1.2
83,versicolor,6.0,2.7,5.1,1.6
84,versicolor,5.4,3.0,4.5,1.5
85,versicolor,6.0,3.4,4.5,1.6
86,versicolor,6.7,3.1,4.7,1.5
87,versicolor,6.3,2.3,4.4,1.3
88,versicolor,5.6,3.0,4.1,1.3
89,versicolor,5.5,2.5,4.0,1.3
90,versicolor,5.5,2.6,4.4,1.2
91,versicolor,6.1,3.0,4.6,1.4
92,versicolor,5.8,2.6,4.0,1.2
93,versicolor,5.0,2.3,3.3,1.0
94,versicolor,5.6,2.7,4.2,1.3
95,versicolor,5.7,3.0,4.2,1.2
96,versicolor,5.7,2.9,4.2,1.3
97,versicolor,6.2,2.9,4.3,1.3
98,versicolor,5.1,2.5,3.0,1.1
99,versicolor,5.7,2.8,4.1,1.3
100,virginica,6.3,3.3,6.0,2.5
101,virginica,5.8,2.7,5.1,1.9
102,virginica,7.1,3.0,5.9,2.1
103,virginica,6.3,2.9,5.6,1.8
104,virginica,6.5,3.0,5.8,2.2
105,virginica,7.6,3.0,6.6,2.1
106,virginica,4.9,2.5,4.5,1.7
107,virginica,7.3,2.9,6.3,1.8
108,virginica,6.7,2.5,5.8,1.8
109,virginica,7.2,3.6,6.1,2.5
110,virginica,6.5,3.2,5.1,2.0
111,virginica,6.4,2.7,5.3,1.9
112,virginica,6.8,3.0,5.5,2.1
113,virginica,5.7,2.5,5.0,2.0
114,virginica,5.8,2.8,5.1,2.4
115,virginica,6.4,3.2,5.3,2.3
116,virginica,6.5,3.0,5.5,1.8
117,virginica,7.7,3.8,6.7,2.2
118,virginica,7.7,2.6,6.9,2.3
119,virginica,6.0,2.2,5.0,1.5
120,virginica,6.9,3.2,5.7,2.3
121,virginica,5.6,2.8,4.9,2.0
122,virginica,7.7,2.8,6.7,2.0
123,virginica,6.3,2.7,4.9,1.8
124,virginica,6.7,3.3,5.7,2.1
125,virginica,7.2,3.2,6.0,1.8
126,virginica,6.2,2.8,4.8,1.8
127,virginica,6.1,3.0,4.9,1.8
128,virginica,6.4,2.8,5.6,2.1
129,virginica,7.2,3.0,5.8,1.6
130,virginica,7.4,2.8,6.1,1.9
131,virginica,7.9,3.8,6.4,2.0
132,virginica,6.4,2.8,5.6,2.2
133,virginica,6.3,2.8,5.1,1.5
134,virginica,6.1,2.6,5.6,1.4
135,virginica,7.7,3.0,6.1,2.3
136,virginica,6.3,3.4,5.6,2.4
137,virginica,6.4,3.1,5.5,1.8
138,virginica,6.0,3.0,4.8,1.8
139,virginica,6.9,3.1,5.4,2.1
140,virginica,6.7,3.1,5.6,2.4
141,virginica,6.9,3.1,5.1,2.3
142,virginica,5.8,2.7,5.1,1.9
143,virginica,6.8,3.2,5.9,2.3
144,virginica,6.7,3.3,5.7,2.5
145,virginica,6.7,3.0,5.2,2.3
146,virginica,6.3,2.5,5.0,1.9
147,virginica,6.5,3.0,5.2,2.0
148,virginica,6.2,3.4,5.4,2.3
149,virginica,5.9,3.0,5.1,1.8
